APP SHA,Install,Native Run,Virtualized Run
6EA3007A513D5BF55F5DC1ACB01FF4C9EC595D889B08D6712B8855FB95387A70,installed,working,working
8F8C5F67D65DA68F90F2F5F0D929CF7B462EE4348A86C97AE7B312B81939EB8B,installed,working,working
41672A779851D3B0DC92813F12921B45BE8F6B520ABA084AFE20213F1F62D058,installed,error,error
F92B69D0C91B78E73DC8CF3CEAD35090D9FB10A05DA4ECDA9EC8B1E3CF6DE2B0,installed,error,error
32E16F9871B32E52C868C5BCB1091B8FF49028DD0C3C675BA5DC016478953783,installed,working,working
459CBC146FFE900E9C5A871F4EEFDF810FF6C741BA898601FE8CF29728DB2979,installed,main activity error,error
74A430E47EE922F021CFD37C15DD9B6512F45FBFED4B40ACA368FE4D02B44A94,installed,working,working
E4A595C8BE055BE69824340E43A45D900325AB31ADA94209900226093B7C9891,installed,working,working
7F349617343F11E7894F0541A084C58BA1AFCEE008510D971722015C658F7C57,installed,error,error
B629A3B19A438D44A3684093D6F54B230D236A85B3824D1CDE826E482E7395EC,installed,working,working
114649F46DC4D43F44B24FEF3D9104B8945FEC89261D6820C43007214765CA9F,installed,working,working
5C4310551A8F2DFB407E6CB00C62694FD0BDA891BDA1AC2433D2BCE9AF4813BF,installed,working,working
ED46269B8A076629DA6898699C38B9F7E4FEDF1F8FBE73F12CC1FFC5098B8BD5,installed,main activity error,working
8026FCC6A06F8B6740EBB85CFDB59F8475FA67AE010385AACB5A81491D338703,installed,working,working
5F3A636700E1F54D411B54B733EB0A90B399BC08017D0F5FF0F3475F64389978,installed,working,working
9CA9F157D6DC82A2B060395C5FC6B35735528906C0BFF9DF6895A0F2476372F2,installed,working,working
